,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side
0,1.0,1.0,1.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3,1.0
1,1.0,0.0,1.0,19.0,0.0,0.0,9.0,0.0,2823.0,0.0,1.0,4,1.0
2,2.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,1.0
3,2.0,0.0,1.0,38.0,0.0,0.0,6652.0,0.0,181.0,585.0,5.0,1,1.0
4,1.0,0.0,1.0,20.0,0.0,10.0,0.0,635.0,0.0,0.0,1.0,5,1.0
5,1.0,0.0,1.0,31.0,0.0,0.0,1615.0,263.0,113.0,60.0,1.0,7,2.0
6,2.0,1.0,2.0,21.0,0.0,0.0,439.4842963318149,0.0,0.0,0.0,4.0,2,2.0
7,2.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,1.0
8,2.0,1.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0,1.0
9,1.0,0.0,2.0,24.0,0.0,0.0,639.0,0.0,0.0,0.0,1.0,7,1.0
10,1.0,0.0,1.0,19.0,0.0,339.0,3.0,136.0,237.0,0.0,1.0,9,1.0
11,2.0,0.0,1.0,45.0,0.0,932.0,74.0,177.29552524527398,7.0,1010.0,6.0,2,2.0
12,2.0,0.0,1.0,44.0,0.0,0.0,1561.0,0.0,14.0,224.0,6.0,2,2.0
13,3.0,1.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,2.0
14,1.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,1687.0,92.0,2.0,4,2.0
15,1.0,0.0,1.0,27.0,0.0,0.0,0.0,0.0,903.0,310.71003097450557,1.0,11,2.0
16,1.0,0.0,1.0,20.0,0.0,2.0,12.0,253.0,457.0,690.0,1.0,11,2.0
17,2.0,1.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,1.0
18,2.0,0.0,1.0,29.0,0.0,0.0,7708.0,243.0,569.0,343.0,0.0,0,0.0
19,2.0,0.0,1.0,40.0,0.0,26.0,1925.0,8.0,3144.0,63.0,4.0,0,1.0
20,1.0,0.0,1.0,30.0,0.0,0.0,878.0,26.0,3.0,0.0,2.0,5,1.0
21,1.0,0.0,1.0,14.0,0.0,219.26626936829558,0.0,0.0,1609.0,0.0,3.0,1,2.0
22,2.0,1.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4,2.0
23,2.0,0.0,2.0,27.0,0.0,0.0,6977.0,0.0,4.0,1235.0,4.0,4,2.0
24,2.0,0.0,2.0,66.0,0.0,39.0,6452.0,0.0,1409.0,155.0,4.0,4,2.0
25,1.0,0.0,1.0,24.0,0.0,1784.0,8.0,18.0,18.0,0.0,2.0,5,2.0
26,2.0,0.0,2.0,19.0,0.0,293.0,3495.0,5273.0,118.0,422.0,5.0,1,2.0
27,1.0,1.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,2.0
28,1.0,0.0,1.0,21.0,0.0,0.0,619.0,12.0,3.0,0.0,1.0,12,2.0
29,1.0,1.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8,1.0
30,1.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9,1.0
31,1.0,0.0,1.0,19.0,0.0,598.0,0.0,30.0,0.0,0.0,2.0,11,1.0
32,1.0,1.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12,1.0
33,1.0,0.0,1.0,23.0,0.0,14.0,870.0,0.0,0.0,23.0,2.0,7,2.0
34,1.0,0.0,1.0,24.0,0.0,483.0,0.0,87.0,214.0,0.0,2.0,8,2.0
35,1.0,0.0,1.0,19.0,0.0,0.0,20.0,135.0,265.0,367.0,3.0,3,2.0
36,3.0,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,1.0
37,1.0,0.0,1.0,27.0,0.0,66.0,1736.0,0.0,0.0,15.0,2.0,10,2.0
38,1.0,1.0,1.0,6.0,0.0,219.26626936829558,0.0,0.0,0.0,0.0,2.0,17,1.0
39,1.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,866.0,0.0,1.0,21,1.0
40,1.0,0.0,3.0,23.0,0.0,0.0,0.0,1235.0,0.0,0.0,1.0,18,2.0
41,1.0,0.0,3.0,30.0,0.0,1.0,0.0,1585.0,0.0,484.0,1.0,22,1.0
42,1.0,0.0,1.0,28.65814620162446,0.0,0.0,17.0,997.0,0.0,0.0,2.0,13,2.0
43,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13,2.0
